"vsg_id","early_1","earlysingle","latesingle","late_1"
"latesingle_trinity.2",0,0,182776.583056,181774.165963
"latesingle_trinity.3",0,0,90289.492921,90457.888737
"latesingle_trinity.4",0,0,93854.856066,93365.918593
"latesingle_trinity.5",0,0,93400.651009,93402.476406
"latesingle_trinity.7",0,0,90379.524878,90571.794164
"latesingle_trinity.8",1e+06,1e+06,89673.29441,90368.898282
"latesingle_trinity.11",0,0,89386.468577,89755.29061
"latesingle_trinity.12",0,0,89368.867773,89017.81525
"latesingle_trinity.13",0,0,90259.114699,90495.792006
"latesingle_trinity.14",0,0,90611.146612,90789.959989
