"vsg_id","earlysingle","latesingle","early_1","late_1"
"late_1_trinity.2",0,11756,0,10844
"late_1_trinity.3",0,11728,0,10796
"late_1_trinity.4",0,10660,0,9806
"late_1_trinity.5",0,11328,0,10348
"late_1_trinity.6",107160,12055.997,89686.608,9904.421
"late_1_trinity.7",0,11016,0,10136
"late_1_trinity.8",0,21526,0,19656
"late_1_trinity.9",0,11026,0,10152
"late_1_trinity.12",0,11000,0,10100
"late_1_trinity.14",0,10682,0,9770
"earlysingle_trinity.1",0,0.003,33583.392,1257.579
"latesingle_trinity.1",0,0,0,0
