task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	f8/8e24c7	193781	TRIM (3)	COMPLETED	0	2025-08-20 15:13:02.649	11.1s	10s	86.1%	409 MB	4.4 GB	29 MB	27 MB
4	89/dcc57f	193759	TRIM (4)	COMPLETED	0	2025-08-20 15:13:02.617	12.6s	11.7s	78.4%	389 MB	4.3 GB	26.1 MB	24.8 MB
2	22/a4732f	193802	TRIM (2)	COMPLETED	0	2025-08-20 15:13:02.676	16.1s	15s	110.1%	402.4 MB	4.6 GB	50.4 MB	47.4 MB
1	3c/551048	193818	TRIM (1)	COMPLETED	0	2025-08-20 15:13:02.695	17s	16.1s	117.2%	402.9 MB	4.5 GB	70.2 MB	64.6 MB
5	37/2e028b	197958	ASSEMBLE (1)	COMPLETED	0	2025-08-20 15:13:19.741	57.5s	56.9s	341.2%	1.3 GB	42.3 GB	956.1 MB	525.4 MB
6	80/eef76c	204204	ASSEMBLE (2)	COMPLETED	0	2025-08-20 15:14:17.263	42.9s	42.4s	318.9%	651.8 MB	21.3 GB	614.6 MB	314 MB
7	97/ddc060	210508	ASSEMBLE (3)	COMPLETED	0	2025-08-20 15:15:00.168	54.8s	54.3s	323.1%	979.5 MB	42.5 GB	1.3 GB	891.5 MB
8	b6/2874e2	217860	ASSEMBLE (4)	COMPLETED	0	2025-08-20 15:15:55.025	2m 9s	2m 8s	327.9%	2.1 GB	42.6 GB	3.1 GB	2.2 GB
9	c2/68165c	230882	ORF (1)	COMPLETED	0	2025-08-20 15:18:03.741	2.8s	1.9s	54.3%	19.6 MB	26 MB	5.4 MB	330 KB
12	f9/2603b3	230917	ORF (4)	COMPLETED	0	2025-08-20 15:18:03.791	3.2s	2s	55.1%	19.5 MB	26 MB	5.5 MB	408 KB
11	a8/d02bf5	230901	ORF (3)	COMPLETED	0	2025-08-20 15:18:03.771	3.6s	2.1s	62.0%	19.5 MB	26 MB	5.7 MB	615.8 KB
10	e3/43b07f	230890	ORF (2)	COMPLETED	0	2025-08-20 15:18:03.761	3.9s	2.5s	51.5%	21 MB	28.5 MB	5.7 MB	588.2 KB
13	0e/fbe15a	232736	BLAST (1)	COMPLETED	0	2025-08-20 15:18:06.639	2.2s	1.2s	53.8%	33.8 MB	113.3 MB	5.6 MB	134.9 KB
14	12/7e3f0f	232990	BLAST (2)	COMPLETED	0	2025-08-20 15:18:07.028	2.4s	1.2s	55.3%	42.6 MB	113.3 MB	6 MB	511.9 KB
15	d1/e77d01	233297	BLAST (3)	COMPLETED	0	2025-08-20 15:18:07.448	2.3s	1.2s	73.3%	3.3 MB	5.6 MB	6.8 MB	1.3 MB
16	2c/591b26	233413	BLAST (4)	COMPLETED	0	2025-08-20 15:18:07.712	2.2s	1.3s	69.1%	35.5 MB	113.3 MB	6.4 MB	895.9 KB
17	61/7e33e0	234428	CONCATENATE_VSGS	COMPLETED	0	2025-08-20 15:18:09.947	607ms	7ms	66.7%	0	0	90.5 KB	33.7 KB
18	cc/eafb3c	234704	CONCATENATED_CDHIT	COMPLETED	0	2025-08-20 15:18:10.597	843ms	59ms	64.5%	3.4 MB	5.6 MB	117.8 KB	17.7 KB
19	d6/46b75e	234697	INDEX	COMPLETED	0	2025-08-20 15:18:10.577	1m 10s	1m 8s	235.2%	367.5 MB	1.1 GB	1.2 GB	656.9 MB
23	0b/662f46	239573	QUANTIFY (4)	COMPLETED	0	2025-08-20 15:19:20.270	9.5s	8.9s	267.1%	634.6 MB	991.2 MB	309.8 MB	22.5 KB
22	d1/1bb5a9	241011	QUANTIFY (3)	COMPLETED	0	2025-08-20 15:19:29.790	5.9s	5.3s	222.8%	621 MB	979.1 MB	293 MB	23.1 KB
21	66/593010	242042	QUANTIFY (2)	COMPLETED	0	2025-08-20 15:19:35.745	3.9s	3.3s	216.6%	560.8 MB	890.1 MB	271.9 MB	21.2 KB
20	0d/3daedc	242622	QUANTIFY (1)	COMPLETED	0	2025-08-20 15:19:39.615	4.9s	4.3s	256.1%	548.3 MB	877.2 MB	274.1 MB	21.1 KB
24	e5/1b97c1	243442	MULTIQC	COMPLETED	0	2025-08-20 15:19:44.614	1.9s	1.3s	114.5%	92.8 MB	789 MB	31.6 MB	17.5 MB
25	be/11028c	244089	SUMMARISE	COMPLETED	0	2025-08-20 15:19:46.563	3.9s	3.2s	129.4%	73.4 MB	700.2 MB	58.7 MB	20.9 KB
