sample,r1,r2
WT_E1,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E1_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E1_trimmed_2.fq.gz
WT_E2,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E2_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E2_trimmed_2.fq.gz
WT_E3,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E3_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E3_trimmed_2.fq.gz
WT_E4,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E4_trimmed_2.fq.gz
WT_E5,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E5_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E5_trimmed_2.fq.gz
WT_E6,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E6_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E6_trimmed_2.fq.gz
WT_E7,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E7_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E7_trimmed_2.fq.gz
WT_E8,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E8_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_E8_trimmed_2.fq.gz
WT_L1,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L1_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L1_trimmed_2.fq.gz
WT_L2,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L2_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L2_trimmed_2.fq.gz
WT_L3,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L3_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L3_trimmed_2.fq.gz
WT_L4,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L4_trimmed_2.fq.gz
WT_L5,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L5_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L5_trimmed_2.fq.gz
WT_L6,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L6_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L6_trimmed_2.fq.gz
WT_L7,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L7_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L7_trimmed_2.fq.gz
WT_L8,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L8_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/Guy/Raw_data/vsg/trimmed/WT_L8_trimmed_2.fq.
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_10_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_10_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_13_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_13_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_14_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_14_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_17_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_17_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_20_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_20_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_21_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_21_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_24_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_24_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_26_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_26_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_28_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_28_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_31_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_31_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_42_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_42_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_54_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_54_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_d33_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_d33_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_d47_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_d47_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_d4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_d4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_d70_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/900_d70_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_10_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/908_10_trimmed_2.fq.gz
