RetainedRef	DuplicateRef
266	2064
266	2513
711	1324
658	990
658	3252
198	1116
198	1944
198	3376
46	800
46	1995
46	2409
46	2812
515	1308
681	919
681	2178
263	817
263	3338
187	1638
113	1003
113	1967
113	2239
113	2546
344	1642
344	2130
344	2428
65	1016
65	2234
926	2593
713	935
713	2377
713	2891
713	3715
918	2589
1358	3686
712	2890
208	866
208	2091
208	3023
264	816
264	3337
2076	2449
1996	3032
257	1915
257	2520
726	2291
726	2718
112	2410
2524	3433
2089	3356
1309	2807
1127	2632
922	1570
922	1954
163	315
163	1773
163	2073
163	2431
85	903
85	1223
85	1839
85	2538
85	2690
40	3207
78	1905
78	2515
952	2226
952	2579
293	1775
293	2103
293	2401
293	2907
293	3514
1993	2328
1491	2500
1491	2733
212	2842
753	2086
753	2596
369	3159
141	390
141	2974
21	1672
21	1964
21	2586
196	530
196	837
196	2779
630	1240
630	2251
630	3280
377	839
2514	2923
2514	3146
1314	1681
45	392
45	1780
45	2124
45	2922
267	356
267	2066
267	2434
139	1721
139	1859
139	2418
535	1497
535	2326
162	1537
162	2320
162	2809
250	1241
250	2926
22	729
22	1991
121	534
121	1405
121	2140
1519	2212
1519	2663
2097	2368
2097	2973
2097	3328
2153	3695
2897	3319
426	3431
2010	3753
272	963
272	3739
48	2371
202	1554
207	867
207	2090
199	1671
1037	2366
15	840
15	1902
15	2862
696	1054
696	1442
696	1936
696	2758
391	536
52	1171
52	2078
52	2638
2009	2406
1913	2872
1564	1842
717	1731
717	2087
717	3598
98	786
246	1941
246	2412
487	865
487	2014
1437	2206
1437	3113
270	2093
270	2485
