"vsg_id","earlysingle.fq","latesingle.fq","late_2_1.fq","late_1_1.fq","early_1_1.fq","early_2_1.fq"
"earlysingle_trinity.4",1e+06,89673.29441,90549.333513,90409.626445,1e+06,1e+06
"late_2_trinity.2",0,89386.468577,90387.647231,89600.844613,0,0
"late_2_trinity.4",0,90259.114699,91254.022699,90371.0381,0,0
"late_2_trinity.6",0,90379.524878,89748.498051,90254.555373,0,0
"late_2_trinity.9",0,182776.583056,182364.894348,181297.679378,0,0
"late_2_trinity.10",0,90611.146612,89331.375459,90542.545432,0,0
"latesingle_trinity.3",0,90289.492921,92072.746639,90477.845307,0,0
"latesingle_trinity.4",0,93400.651009,92939.983607,94301.825371,0,0
"latesingle_trinity.11",0,93854.856066,90374.855333,93324.499606,0,0
"latesingle_trinity.12",0,89368.867773,90976.64312,89419.540375,0,0
