RetainedRef	DuplicateRef
Tbb1125VSG-1749	Tb427VSG-1515
Tbb1125VSG-1650	Tb427VSG-445
Tbb1125VSG-2645	Tb427VSG-1446
Tbb1125VSG-2892.1	Tbb1125VSG-2892.2
Tbb1125VSG-1342	Tb427VSG-1428
Tbb1125VSG-2106	Tb427VSG-623
Tbb1125VSG-319	Tb427VSG-556
Tbb1125VSG-5108	Tb427VSG-2070
Tbb1125VSG-5740	Tbb1125VSG-5740.1
Tbb1125VSG-4871	Tbb1125VSG-4871.1
Tbb1125VSG-4871	Tbb1125VSG-4871.2
Tbb1125VSG-4871	Tbb1125VSG-4871.3
Tbb1125VSG-5667	Tb427VSG-1869
Tbb1125VSG-374	Tbb1125VSG-374.1
Tbb1125VSG-1124	Tb427VSG-434
Tbb1125VSG-46	Tb427VSG-2075
Tbb1125VSG-1686	Tb427VSG-376
Tbb1125VSG-1053	Tbb1125VSG-1053.1
Tbb1125VSG-1078	Tbb1125VSG-1078.1
Tbb1125VSG-1443	Tbb1125VSG-1443.1
Tbb1125VSG-167	Tb427VSG-695
Tbb1125VSG-1052	Tb427VSG-1044
Tbb1125VSG-44	Tb427VSG-620
Tbb1125VSG-5281	Tb427VSG-1643
Tbb1125VSG-260	Tb427VSG-562
Tbb1125VSG-1132	Tb427VSG-1135
Tbb1125VSG-1111	Tb427VSG-1114
Tbb1125VSG-5396	Tbb1125VSG-5396.1
Tbb1125VSG-1276	Tb427VSG-1318
Tbb1125VSG-2927	Tbb1125VSG-2927.1
Tbb1125VSG-492	Tb427VSG-549
Tbb1125VSG-5207	Tb427VSG-3283
Tbb1125VSG-5288	Tb427VSG-1647
Tbb1125VSG-2758	Tb427VSG-3257
Tbb1125VSG-1625	Tb427VSG-3777
Tbb1125VSG-1713	Tb427VSG-2029
Tbb1125VSG-299	Tbb1125VSG-299.1
Tbb1125VSG-299	Tbb1125VSG-299.2
Tbb1125VSG-164	Tb427VSG-1009
TRINITY_DN517_c0_g1_i1	WT_L1_trinity.237
Tbb1125VSG-4938	Tb427VSG-3084
Tbb1125VSG-1360	Tb427VSG-1471
Tbb1125VSG-106	Tb427VSG-308
Tbb1125VSG-1311	Tb427VSG-1376
Tbb1125VSG-4199	Tb427VSG-491
Tbb1125VSG-4690.1	Tbb1125VSG-4865.1
Tbb1125VSG-191	Tb427VSG-420
Tbb1125VSG-2059	Tbb1125VSG-2059.1
Tbb1125VSG-4732	Tbb1125VSG-4732.1
Tbb1125VSG-4757	Tbb1125VSG-4757.1
Tbb1125VSG-4757	Tbb1125VSG-4757.2
Tbb1125VSG-4743	Tb427VSG-1180
Tbb1125VSG-4833	Tb427VSG-1250
Tbb1125VSG-1718	Tbb1125VSG-1718.1
Tbb1125VSG-1241	Tbb1125VSG-1241.1
Tbb1125VSG-2868	Tb427VSG-3485
Tbb1125VSG-258	Tbb1125VSG-258.1
Tbb1125VSG-258	Tbb1125VSG-258.2
Tbb1125VSG-1277	Tb427VSG-1321
Tbb1125VSG-2862.1	Tbb1125VSG-2862.2
Tbb1125VSG-159	Tb427VSG-389
Tbb1125VSG-5013	Tb427VSG-1431
Tbb1125VSG-4347	Tb427VSG-3020
Tbb1125VSG-2974	Tbb1125VSG-2974.1
Tbb1125VSG-5111	Tbb1125VSG-5111.1
Tbb1125VSG-1391	Tbb1125VSG-1391.1
